State,Customer Lifetime Value,Coverage,Education,EmploymentStatus,Gender,Income,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Policies,Policy Type,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size
Arizona,3554.845264,Extended,Master,Employed,F,58557,Married,88,4,83,1,Personal Auto,Offer1,Branch,55.510526,Four-Door Car,Large
California,2971.919417,Extended,Bachelor,Employed,F,83873,Single,76,5,36,1,Personal Auto,Offer3,Branch,218.374041,Two-Door Car,Medsize
California,11302.60169,Extended,Doctor,Employed,F,22361,Married,95,15,42,2,Personal Auto,Offer4,Agent,530.667993,Four-Door Car,Small
California,7996.597066,Extended,Bachelor,Employed,F,70061,Married,99,2,57,3,Corporate Auto,Offer3,Agent,699.517349,Four-Door Car,Small
Arizona,3179.474225,Extended,Bachelor,Employed,F,65742,Married,79,6,0,1,Personal Auto,Offer2,Call Center,277.360797,Four-Door Car,Medsize
Arizona,8224.770259,Basic,Bachelor,Employed,F,82634,Single,104,8,74,3,Personal Auto,Offer3,Agent,324.097433,SUV,Medsize
Nevada,2430.484375,Basic,College,Employed,F,33775,Married,61,24,95,1,Personal Auto,Offer1,Agent,292.8,Two-Door Car,Medsize
Arizona,2382.672856,Basic,Bachelor,Unemployed,F,0,Married,65,24,47,1,Personal Auto,Offer1,Agent,27.031485,Four-Door Car,Medsize
Nevada,6991.248087,Basic,Bachelor,Medical Leave,F,19019,Married,186,7,46,1,Personal Auto,Offer4,Branch,1003.050834,Luxury SUV,Medsize
Arizona,2848.564466,Extended,Bachelor,Unemployed,F,0,Single,81,26,58,1,Personal Auto,Offer1,Branch,583.2,Four-Door Car,Medsize
Arizona,8123.023295,Extended,Bachelor,Unemployed,F,0,Single,78,15,47,2,Special Auto,Offer3,Web,561.6,Four-Door Car,Small
Arizona,7255.137772,Basic,College,Employed,F,67352,Married,181,7,80,1,Personal Auto,Offer3,Branch,560.947563,Luxury Car,Small
California,5904.847853,Basic,Bachelor,Employed,F,89953,Single,74,3,42,3,Corporate Auto,Offer2,Web,274.165887,Four-Door Car,Medsize
Nevada,9180.154161,Basic,College,Employed,F,47663,Divorced,114,35,24,8,Personal Auto,Offer1,Branch,103.702555,Sports Car,Medsize
California,8273.111579,Premium,College,Unemployed,F,0,Divorced,116,6,78,3,Personal Auto,Offer1,Web,509.513764,Four-Door Car,Large
Nevada,4349.30875,Basic,College,Employed,F,75648,Married,108,28,10,1,Corporate Auto,Offer2,Branch,112.660916,SUV,Large
California,5505.687336,Basic,Master,Employed,F,95766,Married,68,17,62,5,Personal Auto,Offer2,Call Center,162.557048,Four-Door Car,Medsize
Arizona,2833.980142,Basic,Bachelor,Employed,F,94812,Married,70,11,40,1,Personal Auto,Offer2,Branch,121.025058,Four-Door Car,Medsize
California,5099.513147,Basic,Bachelor,Unemployed,F,0,Married,70,28,77,3,Personal Auto,Offer1,Branch,336,Two-Door Car,Small
Arizona,3063.114594,Extended,College,Unemployed,F,0,Single,95,14,57,1,Personal Auto,Offer1,Agent,456,Two-Door Car,Medsize
Arizona,3969.433177,Basic,College,Employed,F,49544,Single,101,3,29,1,Personal Auto,Offer1,Agent,0.769185,SUV,Medsize
California,5107.163002,Basic,Bachelor,Employed,F,35625,Married,65,10,56,3,Personal Auto,Offer2,Agent,288.572108,Four-Door Car,Medsize
Nevada,4699.034135,Extended,Bachelor,Unemployed,F,0,Married,129,14,93,1,Personal Auto,Offer1,Web,291.744204,SUV,Medsize
California,2395.57,Basic,Doctor,Disabled,F,21986,Divorced,63,1,9,1,Personal Auto,Offer2,Branch,333.696228,Two-Door Car,Medsize
Washington,8936.823519,Basic,Master,Employed,F,37520,Married,74,21,30,2,Special Auto,Offer1,Agent,163.576763,Two-Door Car,Medsize
Arizona,6687.593818,Extended,Bachelor,Employed,F,23772,Married,83,19,25,4,Personal Auto,Offer2,Agent,100.652984,Four-Door Car,Medsize
Arizona,2555.535685,Basic,Doctor,Disabled,F,18241,Married,65,17,44,1,Personal Auto,Offer3,Agent,151.991098,Two-Door Car,Medsize
California,5615.073509,Basic,Bachelor,Disabled,F,19949,Married,74,0,99,3,Corporate Auto,Offer1,Branch,355.2,Four-Door Car,Medsize
California,3985.398895,Extended,Bachelor,Employed,F,77739,Married,98,31,61,1,Personal Auto,Offer2,Call Center,428.563553,Four-Door Car,Large
California,5759.011129,Basic,Bachelor,Employed,F,30968,Married,74,10,89,8,Corporate Auto,Offer1,Branch,45.425684,Two-Door Car,Medsize
California,14137.23043,Basic,College,Employed,F,31794,Divorced,119,12,16,2,Personal Auto,Offer1,Agent,571.2,SUV,Medsize
Nevada,4349.30875,Basic,College,Employed,F,75648,Married,108,28,10,1,Corporate Auto,Offer2,Branch,112.660916,SUV,Large
Washington,9688.129179,Basic,College,Medical Leave,F,24584,Single,66,11,74,2,Corporate Auto,Offer1,Agent,279.706613,Four-Door Car,Medsize
Arizona,3219.146148,Extended,Bachelor,Employed,F,45892,Married,81,1,49,1,Corporate Auto,Offer2,Agent,388.8,Four-Door Car,Medsize
California,2897.779107,Extended,College,Unemployed,F,0,Single,85,4,45,1,Personal Auto,Offer2,Branch,612,Two-Door Car,Medsize
Arizona,5515.246935,Basic,College,Employed,F,75963,Divorced,69,4,23,7,Corporate Auto,Offer3,Branch,102.147789,Two-Door Car,Medsize
California,3265.156348,Extended,Bachelor,Employed,F,25820,Divorced,82,10,69,1,Personal Auto,Offer1,Agent,393.6,Four-Door Car,Medsize
Washington,4462.997006,Basic,Bachelor,Unemployed,F,0,Single,73,35,52,5,Personal Auto,Offer1,Web,350.4,Two-Door Car,Medsize
Washington,4570.673702,Basic,Bachelor,Disabled,F,27538,Divorced,63,10,6,3,Personal Auto,Offer1,Call Center,285.843893,Four-Door Car,Medsize
Washington,14754.35923,Extended,Bachelor,Employed,F,26486,Single,128,18,5,2,Personal Auto,Offer1,Agent,614.4,SUV,Medsize
California,4731.844073,Basic,Bachelor,Unemployed,F,0,Single,64,14,92,7,Personal Auto,Offer3,Web,307.2,Four-Door Car,Medsize
Washington,10620.49148,Basic,College,Employed,F,35601,Single,69,34,15,2,Personal Auto,Offer3,Branch,249.803437,Four-Door Car,Medsize
Washington,5395.091602,Basic,Bachelor,Employed,F,86640,Married,67,2,25,5,Personal Auto,Offer2,Web,65.457366,Four-Door Car,Medsize
California,6913.566525,Basic,College,Retired,F,26714,Divorced,64,17,7,2,Personal Auto,Offer3,Call Center,307.2,Two-Door Car,Small
California,9664.330983,Extended,College,Employed,F,86054,Married,239,12,11,1,Personal Auto,Offer2,Branch,115.166422,Luxury Car,Medsize
Nevada,8707.619537,Basic,Bachelor,Employed,F,57107,Married,110,27,84,7,Personal Auto,Offer2,Branch,528,SUV,Small
California,4878.829713,Basic,Doctor,Disabled,F,29950,Married,61,0,76,4,Personal Auto,Offer1,Call Center,292.8,Two-Door Car,Medsize
Nevada,10793.75704,Extended,College,Employed,F,24195,Married,90,32,70,2,Personal Auto,Offer1,Branch,360.269404,Two-Door Car,Large
Nevada,7486.019078,Basic,Bachelor,Unemployed,F,0,Divorced,71,14,62,2,Corporate Auto,Offer3,Call Center,340.8,Four-Door Car,Medsize
California,7379.456823,Basic,Bachelor,Employed,F,61584,Married,61,18,93,2,Corporate Auto,Offer1,Agent,205.294927,Four-Door Car,Medsize
California,4470.181084,Extended,College,Unemployed,F,0,Single,129,2,72,1,Personal Auto,Offer4,Web,928.8,SUV,Medsize
Nevada,7492.055949,Basic,College,Employed,F,39815,Divorced,64,17,68,2,Special Auto,Offer3,Branch,91.391245,Four-Door Car,Medsize
California,3427.154407,Extended,Master,Employed,F,58840,Single,86,25,44,1,Corporate Auto,Offer1,Agent,73.27252,Two-Door Car,Medsize
Washington,5181.620895,Basic,Master,Employed,F,97131,Married,64,5,80,6,Special Auto,Offer2,Agent,307.2,Four-Door Car,Small
Arizona,4313.34397,Extended,College,Unemployed,F,0,Single,126,2,96,1,Personal Auto,Offer1,Branch,656.57161,SUV,Large
Nevada,7792.067056,Basic,Master,Employed,F,36776,Divorced,65,21,21,2,Corporate Auto,Offer1,Call Center,240.186527,Four-Door Car,Medsize
California,11510.36033,Basic,Bachelor,Unemployed,F,0,Married,61,11,39,2,Corporate Auto,Offer3,Agent,439.2,Four-Door Car,Medsize
California,13333.38849,Premium,Bachelor,Employed,F,75634,Married,110,13,52,2,Personal Auto,Offer1,Agent,432.805382,Two-Door Car,Medsize
Nevada,5279.198664,Basic,Bachelor,Employed,F,77167,Divorced,66,15,99,3,Personal Auto,Offer2,Call Center,137.086695,Four-Door Car,Medsize
California,5244.550942,Basic,College,Employed,F,27444,Married,66,21,88,3,Personal Auto,Offer3,Web,313.931213,Four-Door Car,Large
Arizona,2913.493264,Basic,College,Employed,F,89672,Married,72,7,92,1,Personal Auto,Offer2,Agent,309.568636,Four-Door Car,Medsize
California,5243.446345,Basic,Bachelor,Employed,F,96535,Single,66,11,85,3,Personal Auto,Offer1,Agent,271.074379,Four-Door Car,Medsize
Nevada,9426.384787,Extended,College,Employed,F,38910,Married,78,3,78,2,Personal Auto,Offer2,Branch,20.209679,Two-Door Car,Medsize
Nevada,7844.252972,Basic,Bachelor,Unemployed,F,0,Married,102,20,46,3,Personal Auto,Offer1,Web,273.945412,SUV,Large
California,6674.455913,Extended,Bachelor,Employed,F,92653,Married,83,15,80,6,Personal Auto,Offer1,Agent,456.519419,Four-Door Car,Medsize
Nevada,33473.34946,Basic,Bachelor,Employed,F,33190,Divorced,106,18,95,2,Personal Auto,Offer1,Web,508.8,SUV,Medsize
California,10179.71704,Premium,Bachelor,Retired,F,14290,Married,271,20,40,1,Personal Auto,Offer1,Agent,1300.8,Luxury SUV,Medsize
California,8632.783576,Premium,Bachelor,Employed,F,96200,Married,107,9,45,3,Personal Auto,Offer2,Web,513.6,Two-Door Car,Small
California,7690.159642,Basic,Bachelor,Employed,F,55843,Married,64,3,80,2,Corporate Auto,Offer1,Call Center,307.2,Two-Door Car,Medsize
California,8259.1108,Extended,Bachelor,Disabled,F,20305,Single,76,14,63,2,Personal Auto,Offer2,Call Center,496.477418,Two-Door Car,Medsize
California,2659.70565,Extended,College,Unemployed,F,0,Divorced,87,4,4,1,Personal Auto,Offer2,Agent,420.041981,Four-Door Car,Medsize
California,2582.408525,Basic,Bachelor,Employed,F,76731,Married,64,2,68,1,Personal Auto,Offer2,Agent,201.455005,Four-Door Car,Medsize
Arizona,4173.140695,Basic,Bachelor,Unemployed,F,0,Single,117,10,37,1,Personal Auto,Offer1,Agent,842.4,SUV,Medsize
California,8044.511759,Basic,Bachelor,Employed,F,68849,Married,67,9,67,2,Corporate Auto,Offer2,Call Center,252.699037,Two-Door Car,Medsize
Nevada,20018.20459,Basic,Bachelor,Employed,F,65900,Married,62,17,41,2,Personal Auto,Offer1,Agent,297.6,Four-Door Car,Medsize
Washington,4698.759935,Basic,Bachelor,Unemployed,F,0,Single,67,27,71,6,Personal Auto,Offer1,Agent,321.6,Two-Door Car,Medsize
Nevada,11130.11974,Extended,Bachelor,Employed,F,42928,Married,93,20,65,2,Personal Auto,Offer1,Call Center,651.623195,Four-Door Car,Large
Washington,2610.369217,Basic,Bachelor,Employed,F,54737,Single,66,3,86,1,Personal Auto,Offer3,Web,391.970334,Four-Door Car,Medsize
Washington,4946.960039,Basic,College,Employed,F,46239,Single,67,17,1,4,Personal Auto,Offer3,Web,6.395416,Four-Door Car,Medsize
Nevada,15613.95173,Premium,Bachelor,Employed,F,27514,Married,197,12,97,8,Personal Auto,Offer1,Call Center,1367.199081,SUV,Medsize
Arizona,2598.061204,Basic,Bachelor,Employed,F,62566,Married,65,4,3,1,Corporate Auto,Offer3,Branch,48.344273,Four-Door Car,Medsize
Washington,6252.3631,Extended,Master,Employed,F,92895,Married,77,5,2,7,Personal Auto,Offer2,Call Center,43.14147,Two-Door Car,Small
California,5174.689686,Basic,College,Employed,F,55290,Married,65,26,33,4,Personal Auto,Offer2,Branch,13.874775,Four-Door Car,Medsize
California,9263.179837,Premium,Bachelor,Employed,F,23377,Married,116,15,19,3,Personal Auto,Offer2,Web,556.8,Four-Door Car,Medsize
California,4834.710493,Basic,College,Employed,F,38713,Divorced,66,31,69,6,Personal Auto,Offer2,Call Center,316.8,Four-Door Car,Medsize
Arizona,2361.742243,Basic,Bachelor,Unemployed,F,0,Married,66,17,92,1,Personal Auto,Offer1,Agent,145.896438,Four-Door Car,Medsize
Arizona,4995.1712,Basic,College,Retired,F,10787,Divorced,71,33,25,8,Personal Auto,Offer1,Agent,697.798804,Two-Door Car,Small
Arizona,8719.896238,Basic,College,Employed,F,59763,Married,73,4,31,2,Personal Auto,Offer4,Agent,350.4,Two-Door Car,Small
California,22448.68617,Extended,College,Unemployed,F,0,Single,78,7,63,2,Special Auto,Offer1,Agent,561.6,Four-Door Car,Medsize
Arizona,6864.647514,Extended,College,Employed,F,96832,Married,85,19,23,3,Personal Auto,Offer1,Branch,408,Two-Door Car,Small
California,4980.18765,Extended,College,Disabled,F,21135,Married,130,14,59,1,Personal Auto,Offer3,Call Center,678.946216,SUV,Medsize
Arizona,5417.744055,Basic,College,Employed,F,54898,Single,69,25,32,9,Corporate Auto,Offer1,Call Center,176.242159,Two-Door Car,Small
California,7980.304624,Basic,College,Retired,F,15630,Divorced,115,8,60,3,Personal Auto,Offer1,Web,656.775467,SUV,Medsize
Arizona,5107.163002,Basic,Bachelor,Employed,F,35625,Married,65,10,56,3,Personal Auto,Offer2,Agent,288.572108,Four-Door Car,Medsize
Arizona,4643.413135,Extended,Bachelor,Disabled,F,12261,Divorced,125,26,80,1,Personal Auto,Offer1,Call Center,600,SUV,Medsize
California,11373.98852,Extended,Master,Employed,F,87810,Married,94,15,26,2,Personal Auto,Offer3,Agent,225.641724,Four-Door Car,Medsize
Washington,2410.355726,Basic,Bachelor,Unemployed,F,0,Single,67,5,53,1,Personal Auto,Offer2,Agent,482.4,Two-Door Car,Medsize
Washington,9031.214859,Extended,Master,Unemployed,F,0,Single,122,15,47,9,Corporate Auto,Offer1,Branch,650.52179,Sports Car,Medsize
California,5093.379714,Basic,Bachelor,Employed,F,91814,Married,63,30,99,3,Personal Auto,Offer3,Call Center,167.037619,Two-Door Car,Medsize
Nevada,3438.949322,Extended,Bachelor,Employed,F,55910,Married,86,4,3,1,Personal Auto,Offer1,Call Center,324.348688,Four-Door Car,Medsize
Arizona,7824.492263,Basic,Bachelor,Employed,F,64543,Married,65,1,84,2,Personal Auto,Offer2,Call Center,200.177163,Four-Door Car,Medsize
Arizona,2775.080095,Basic,College,Disabled,F,29051,Married,73,31,79,1,Personal Auto,Offer1,Agent,153.200014,Two-Door Car,Medsize
Arizona,5792.666316,Basic,Bachelor,Employed,F,87382,Married,72,26,65,5,Personal Auto,Offer2,Web,345.6,Four-Door Car,Large
California,3596.83011,Extended,College,Employed,F,30694,Married,91,22,23,1,Personal Auto,Offer1,Agent,436.8,Four-Door Car,Small
California,7205.019561,Basic,College,Unemployed,F,0,Single,64,27,62,2,Corporate Auto,Offer1,Web,505.975326,Four-Door Car,Small
Washington,5688.20499,Basic,Bachelor,Employed,F,44833,Divorced,72,24,59,3,Personal Auto,Offer1,Agent,345.6,Two-Door Car,Medsize
Nevada,5736.45893,Basic,Bachelor,Employed,F,96917,Married,71,31,16,9,Personal Auto,Offer2,Agent,373.047039,Two-Door Car,Medsize
Arizona,11828.61437,Basic,College,Unemployed,F,0,Single,111,4,8,2,Personal Auto,Offer2,Call Center,1018.808223,SUV,Medsize
Arizona,4212.8026,Premium,College,Disabled,F,10097,Married,110,17,69,1,Personal Auto,Offer1,Web,218.635593,Four-Door Car,Medsize
California,5553.18672,Extended,College,Employed,F,33255,Married,138,0,20,1,Personal Auto,Offer1,Branch,662.4,Sports Car,Medsize
Arizona,2248.449633,Basic,Bachelor,Retired,F,24910,Single,63,7,63,1,Personal Auto,Offer1,Branch,347.857619,Four-Door Car,Medsize
California,3681.978995,Extended,Master,Employed,F,77951,Married,93,28,46,1,Corporate Auto,Offer4,Branch,19.668633,Two-Door Car,Medsize
California,7373.225991,Basic,College,Employed,F,44938,Married,183,7,37,1,Personal Auto,Offer2,Branch,2069.309854,Luxury Car,Large
Washington,4883.335068,Extended,College,Employed,F,40171,Married,123,13,23,1,Personal Auto,Offer2,Call Center,576.880144,SUV,Medsize
Nevada,7372.230729,Basic,Bachelor,Employed,F,74335,Single,187,3,4,1,Corporate Auto,Offer3,Agent,896.436023,Luxury Car,Small
California,12625.27947,Premium,Bachelor,Employed,F,79421,Married,104,2,85,2,Personal Auto,Offer1,Agent,115.126739,Four-Door Car,Medsize
Arizona,4895.811925,Basic,College,Employed,F,54495,Married,61,7,3,8,Personal Auto,Offer1,Branch,182.350945,Four-Door Car,Medsize
California,2602.212965,Basic,College,Disabled,F,28995,Married,67,28,42,1,Personal Auto,Offer2,Branch,321.6,Four-Door Car,Medsize
California,2292.791874,Basic,Bachelor,Unemployed,F,0,Single,64,18,30,1,Personal Auto,Offer1,Branch,460.8,Two-Door Car,Medsize
Arizona,9234.277026,Extended,College,Unemployed,F,0,Single,134,29,43,6,Corporate Auto,Offer1,Branch,643.2,SUV,Medsize
Washington,6265.343299,Extended,Doctor,Unemployed,F,0,Married,84,18,25,4,Personal Auto,Offer1,Agent,481.025786,Four-Door Car,Medsize
Washington,4749.127521,Extended,Bachelor,Unemployed,F,0,Married,123,33,35,1,Personal Auto,Offer3,Call Center,590.4,SUV,Medsize
California,7805.31287,Basic,College,Retired,F,21073,Divorced,106,25,54,3,Personal Auto,Offer1,Agent,508.8,SUV,Small
Arizona,9642.214529,Extended,Bachelor,Employed,F,36108,Divorced,128,5,35,9,Personal Auto,Offer3,Agent,614.4,SUV,Large
California,2525.419695,Basic,Doctor,Unemployed,F,0,Married,67,9,37,1,Corporate Auto,Offer4,Agent,146.301396,Four-Door Car,Large
California,4569.8758,Extended,Bachelor,Unemployed,F,0,Married,124,32,75,1,Personal Auto,Offer2,Call Center,250.723005,SUV,Large
Nevada,8571.480718,Premium,Bachelor,Employed,F,56202,Married,107,19,33,8,Personal Auto,Offer2,Agent,513.511091,Two-Door Car,Medsize
Arizona,3799.746262,Premium,College,Unemployed,F,0,Married,102,1,99,1,Personal Auto,Offer1,Branch,489.6,Four-Door Car,Large
California,6991.614179,Extended,Master,Employed,F,66346,Married,87,15,7,4,Personal Auto,Offer4,Agent,78.179743,Four-Door Car,Large
California,13749.37083,Premium,College,Employed,F,82753,Married,114,3,42,2,Personal Auto,Offer1,Web,264.666921,Four-Door Car,Medsize
Arizona,7296.493236,Basic,College,Unemployed,F,0,Divorced,67,29,88,2,Personal Auto,Offer1,Web,321.6,Two-Door Car,Medsize
Arizona,7840.646748,Extended,Bachelor,Unemployed,F,0,Single,76,17,34,2,Personal Auto,Offer2,Agent,364.8,Four-Door Car,Large
Arizona,7441.004843,Basic,College,Employed,F,91915,Divorced,186,0,91,1,Personal Auto,Offer1,Call Center,93.56694,Luxury Car,Medsize
Nevada,11981.98481,Basic,Master,Retired,F,21514,Married,62,0,59,2,Special Auto,Offer1,Agent,257.248789,Two-Door Car,Medsize
California,4163.04081,Basic,College,Employed,F,43276,Married,104,16,11,1,Personal Auto,Offer2,Call Center,499.2,SUV,Large
Arizona,4048.722426,Premium,Bachelor,Unemployed,F,0,Single,118,9,26,1,Personal Auto,Offer1,Web,566.4,Four-Door Car,Small
California,10288.92495,Extended,Bachelor,Employed,F,96337,Married,127,19,12,3,Personal Auto,Offer3,Branch,609.6,SUV,Medsize
California,4061.997378,Basic,College,Employed,F,30061,Single,104,4,22,1,Special Auto,Offer1,Web,499.2,Sports Car,Large
California,4949.389491,Extended,Bachelor,Unemployed,F,0,Single,134,15,3,1,Corporate Auto,Offer2,Branch,964.8,Sports Car,Small
Nevada,4170.687348,Basic,Master,Employed,F,29462,Single,107,28,23,1,Corporate Auto,Offer2,Branch,513.6,SUV,Large
California,2858.087414,Basic,Master,Employed,F,27382,Married,71,33,35,1,Personal Auto,Offer2,Web,134.104322,Four-Door Car,Medsize
California,6282.082435,Extended,Bachelor,Employed,F,32311,Married,79,10,23,3,Corporate Auto,Offer1,Agent,207.289724,Four-Door Car,Large
California,8099.466122,Basic,Bachelor,Unemployed,F,0,Divorced,112,19,42,6,Personal Auto,Offer1,Branch,438.812143,SUV,Medsize
Arizona,4834.710493,Basic,College,Employed,F,38713,Divorced,66,31,69,6,Personal Auto,Offer2,Call Center,316.8,Four-Door Car,Medsize
California,11009.13049,Premium,Bachelor,Employed,F,51643,Single,283,16,43,1,Personal Auto,Offer2,Agent,1358.4,Luxury Car,Medsize
Arizona,5558.31428,Premium,Bachelor,Unemployed,F,0,Single,188,5,61,1,Personal Auto,Offer3,Agent,2156.011022,SUV,Medsize
Nevada,24108.30057,Basic,Bachelor,Disabled,F,17257,Single,70,1,88,2,Personal Auto,Offer1,Call Center,551.132139,Four-Door Car,Small
California,2611.128028,Basic,Master,Employed,F,90349,Divorced,64,31,77,1,Personal Auto,Offer4,Branch,435.7186,Four-Door Car,Medsize
California,4670.953723,Basic,College,Unemployed,F,0,Divorced,64,25,89,4,Corporate Auto,Offer2,Call Center,181.810486,Four-Door Car,Medsize
Washington,28119.28723,Extended,Bachelor,Employed,F,68211,Married,99,9,21,2,Corporate Auto,Offer2,Branch,475.2,Four-Door Car,Small
Arizona,8219.358756,Premium,Bachelor,Employed,F,28445,Married,103,18,72,6,Special Auto,Offer1,Agent,427.762841,Two-Door Car,Medsize
Nevada,4803.24007,Basic,College,Employed,F,37313,Single,62,34,39,6,Personal Auto,Offer3,Branch,246.57631,Four-Door Car,Medsize
California,3425.73115,Extended,College,Employed,F,29194,Single,89,28,31,1,Personal Auto,Offer2,Agent,424.466821,Four-Door Car,Medsize
Arizona,8609.158215,Basic,Bachelor,Employed,F,79090,Married,107,2,74,3,Personal Auto,Offer2,Branch,289.040734,SUV,Medsize
Washington,4605.036646,Basic,College,Medical Leave,F,22571,Single,63,29,51,9,Personal Auto,Offer2,Web,302.4,Four-Door Car,Large
Arizona,3465.52691,Extended,Master,Employed,F,48744,Single,86,3,59,1,Personal Auto,Offer1,Agent,412.8,Two-Door Car,Small
Arizona,5176.157299,Basic,Master,Employed,F,91475,Divorced,64,28,35,3,Personal Auto,Offer1,Agent,73.295606,Four-Door Car,Medsize
California,5217.513287,Basic,Bachelor,Employed,F,39854,Divorced,66,6,4,7,Corporate Auto,Offer2,Web,261.930545,Two-Door Car,Medsize
Arizona,8002.308333,Basic,College,Unemployed,F,0,Married,107,3,65,3,Personal Auto,Offer1,Agent,513.6,SUV,Medsize
Nevada,15563.36944,Premium,Bachelor,Unemployed,F,0,Married,253,15,40,7,Personal Auto,Offer3,Web,1214.4,Luxury Car,Medsize
Washington,4723.821588,Premium,Bachelor,Employed,F,21546,Married,119,20,66,1,Corporate Auto,Offer3,Agent,625.395925,Two-Door Car,Medsize
Arizona,8436.350708,Basic,Bachelor,Employed,F,49182,Married,70,6,86,2,Personal Auto,Offer1,Web,165.410515,Two-Door Car,Medsize
California,7153.208425,Extended,Bachelor,Employed,F,32238,Divorced,91,15,80,4,Personal Auto,Offer3,Branch,439.781453,Four-Door Car,Medsize
California,6990.691643,Basic,College,Unemployed,F,0,Single,68,24,2,2,Personal Auto,Offer2,Web,326.4,Four-Door Car,Large
Arizona,2422.194555,Basic,Doctor,Employed,F,25036,Married,61,11,30,1,Corporate Auto,Offer2,Agent,292.8,Four-Door Car,Large
Washington,7765.228166,Extended,Bachelor,Employed,F,56337,Married,97,26,25,3,Personal Auto,Offer4,Web,465.6,Four-Door Car,Medsize
California,10193.77423,Extended,Bachelor,Employed,F,21119,Married,128,1,79,4,Personal Auto,Offer1,Branch,614.4,SUV,Medsize
Arizona,5294.230247,Basic,Doctor,Unemployed,F,0,Married,70,9,19,3,Personal Auto,Offer2,Call Center,20.521312,Four-Door Car,Medsize
Washington,2666.976685,Basic,Bachelor,Employed,F,79251,Married,67,10,32,1,Personal Auto,Offer2,Web,321.6,Four-Door Car,Medsize
California,7423.929008,Basic,College,Unemployed,F,0,Single,107,27,27,9,Personal Auto,Offer1,Branch,513.6,SUV,Medsize
California,7850.590399,Basic,College,Unemployed,F,0,Married,69,5,78,2,Corporate Auto,Offer4,Web,331.2,Four-Door Car,Medsize
California,3210.417377,Extended,Bachelor,Unemployed,F,0,Divorced,88,3,8,1,Personal Auto,Offer1,Web,325.917598,Four-Door Car,Large
California,5403.586356,Basic,Bachelor,Employed,F,72633,Married,67,28,91,8,Personal Auto,Offer1,Agent,155.761761,Four-Door Car,Medsize
California,7540.390159,Basic,Bachelor,Unemployed,F,0,Single,68,24,42,2,Personal Auto,Offer1,Branch,519.757811,Two-Door Car,Small
Nevada,14316.84569,Premium,Bachelor,Employed,F,97379,Divorced,119,10,62,2,Personal Auto,Offer1,Web,354.764801,Four-Door Car,Medsize
Arizona,10179.71704,Premium,Bachelor,Retired,F,14290,Married,271,20,40,1,Personal Auto,Offer1,Agent,1300.8,Luxury SUV,Medsize
Arizona,10130.93442,Extended,Doctor,Employed,F,59232,Divorced,85,6,75,2,Corporate Auto,Offer3,Branch,408,Two-Door Car,Medsize
Washington,7615.369665,Basic,College,Employed,F,90918,Single,64,22,19,2,Personal Auto,Offer3,Agent,163.411884,Four-Door Car,Medsize
Arizona,4820.704584,Basic,College,Employed,F,27872,Married,61,19,78,3,Personal Auto,Offer2,Branch,186.857059,Two-Door Car,Medsize
California,2675.029491,Basic,Master,Employed,F,55479,Single,68,5,7,1,Personal Auto,Offer2,Branch,117.964245,Four-Door Car,Medsize
Nevada,3352.87052,Extended,College,Employed,F,95438,Married,83,25,76,1,Corporate Auto,Offer2,Call Center,99.223092,Two-Door Car,Medsize
California,11638.89947,Basic,College,Medical Leave,F,25370,Married,102,10,77,2,Personal Auto,Offer1,Branch,489.6,Sports Car,Large
California,19160.98994,Extended,Master,Employed,F,22705,Divorced,239,19,59,7,Personal Auto,Offer2,Agent,1294.700423,Luxury SUV,Medsize
Washington,5225.253777,Basic,College,Employed,F,67423,Married,65,24,0,9,Corporate Auto,Offer3,Agent,293.308765,Four-Door Car,Medsize
California,3571.82831,Extended,Bachelor,Employed,F,74931,Divorced,89,13,16,1,Personal Auto,Offer1,Agent,230.84972,Two-Door Car,Large
California,38887.9034,Premium,Bachelor,Employed,F,44299,Married,107,0,73,2,Personal Auto,Offer2,Branch,180.085807,Two-Door Car,Medsize
California,2438.689804,Basic,Bachelor,Employed,F,80927,Single,62,25,8,1,Personal Auto,Offer2,Branch,211.660971,Two-Door Car,Medsize
California,5692.684466,Basic,College,Employed,F,86073,Married,70,2,96,3,Personal Auto,Offer3,Branch,291.587866,Two-Door Car,Medsize
California,5263.921634,Extended,College,Employed,F,82528,Married,131,10,65,1,Personal Auto,Offer2,Agent,258.036918,Sports Car,Small
California,4347.159852,Basic,College,Employed,F,38223,Married,112,27,18,1,Personal Auto,Offer3,Branch,537.6,SUV,Medsize
California,5246.278375,Basic,Bachelor,Employed,F,28909,Married,66,15,66,8,Corporate Auto,Offer1,Agent,456.702735,Two-Door Car,Medsize
Nevada,2744.73543,Basic,Doctor,Employed,F,35159,Married,68,0,73,1,Personal Auto,Offer1,Agent,150.501033,Two-Door Car,Large
California,6013.038073,Extended,College,Unemployed,F,0,Single,84,8,30,7,Personal Auto,Offer3,Agent,604.8,Four-Door Car,Small
Nevada,3650.576237,Extended,College,Employed,F,88842,Married,90,32,42,1,Personal Auto,Offer4,Branch,350.75997,Two-Door Car,Large
Arizona,2395.57,Basic,Doctor,Disabled,F,21986,Divorced,63,1,9,1,Personal Auto,Offer2,Branch,333.696228,Two-Door Car,Medsize
